x,y
100,-86.16332245
100.005,-86.08397675
100.01,-86.0656662
100.015,-86.15111542
100.02,-86.07787323
100.025,-86.08397675
100.03,-86.13280487
100.035,-86.12670135
100.04,-86.05345917
100.045,-86.12670135
100.05,-86.16332245
100.055,-86.05345917
100.06,-86.04125214
100.065,-86.181633
100.07,-86.15111542
100.075,-86.07787323
100.08,-86.17552948
100.085,-86.16332245
100.09,-86.04735565
100.095,-86.15721893
100.1,-86.24266815
100.105,-86.10228729
100.11,-86.09618378
100.115,-86.19384003
100.12,-86.16332245
100.125,-86.12059784
100.13,-86.19994354
100.135,-86.23656464
100.14,-86.10228729
100.145,-86.16332245
100.15,-86.20604706
100.155,-86.12059784
100.16,-86.17552948
100.165,-86.27318573
100.17,-86.11449432
100.175,-86.13280487
100.18,-86.21215057
100.185,-86.21825409
100.19,-86.13890839
100.195,-86.16332245
100.2,-86.2609787
100.205,-86.18773651
100.21,-86.19384003
100.215,-86.23656464
100.22,-86.20604706
100.225,-86.13280487
100.23,-86.21215057
100.235,-86.19384003
100.24,-86.10228729
100.245,-86.16942596
100.25,-86.24266815
100.255,-86.10228729
100.26,-86.10228729
100.265,-86.18773651
100.27,-86.12059784
100.275,-86.01683807
100.28,-86.16942596
100.285,-86.09008026
100.29,-85.99242401
100.295,-86.00463104
100.3,-86.04125214
100.305,-85.96190643
100.31,-85.89476776
100.315,-85.96800995
100.32,-85.82152557
100.325,-85.87645721
100.33,-85.88256073
100.335,-85.84593964
100.34,-85.69945526
100.345,-85.6384201
100.35,-85.65062714
100.355,-85.4431076
100.36,-85.40648651
100.365,-85.37596893
100.37,-85.27220917
100.375,-85.07079315
100.38,31.84204102
100.385,10.8398428
100.39,4.864501476
100.395,2.947997808
100.4,3.253173828
100.405,4.974364758
100.41,7.019042969
100.415,9.002684593
100.42,11.114501
100.425,12.9699707
100.43,14.58740234
100.435,16.16821098
100.44,17.67577934
100.445,18.91479301
100.45,19.87304497
100.455,20.86791801
100.46,21.58813286
100.465,22.21069145
100.47,22.86987114
100.475,23.55346489
100.48,23.91357231
100.485,24.24926567
100.49,24.54223442
100.495,24.70702934
100.5,24.73754692
100.505,24.87182426
100.51,24.83520317
100.515,24.65820122
100.52,24.63378716
100.525,24.53613091
100.53,24.04174614
100.535,23.76708794
100.54,23.52905083
100.545,23.21777153
100.55,22.74169731
100.555,22.29003716
100.56,21.94824028
100.565,21.42333794
100.57,21.06933403
100.575,20.5871563
100.58,19.94018364
100.585,19.31762505
100.59,18.8293438
100.595,18.23119926
100.6,17.37670708
100.605,16.84570122
100.61,16.24755669
100.615,15.27099609
100.62,14.59350586
100.625,13.90991211
100.63,12.92114258
100.635,12.13378811
100.64,11.20605373
100.645,10.26611233
100.65,9.179686546
100.655,8.251952171
100.66,7.232666016
100.665,6.018065929
100.67,4.90112257
100.675,3.784179688
100.68,2.398681402
100.685,0.9765625
100.69,-0.384521455
100.695,-2.001953125
100.7,-3.570556641
100.705,-5.084228039
100.71,-6.842041016
100.715,-8.666991234
100.72,-10.58349514
100.725,-12.46337795
100.73,-14.65454102
100.735,-16.98608208
100.74,-19.43359184
100.745,-22.01537895
100.75,-24.572752
100.755,-27.15454102
100.76,-30.05981445
100.765,-33.05053329
100.77,-36.18774033
100.775,-39.28832626
100.78,-42.76733017
100.785,-46.74682236
100.79,-51.14745712
100.795,-56.43920898
100.8,-63.25683594
100.805,-70.97167206
100.81,-78.22875214
100.815,-82.666008
100.82,-84.36278534
100.825,-84.83275604
100.83,-85.24169159
100.835,-85.44921112
100.84,-85.4797287
100.845,-85.62010956
100.85,-85.72997284
100.855,-85.71776581
100.86,-85.77880096
100.865,-85.85204315
100.87,-85.8337326
100.875,-85.76659393
100.88,-85.95580292
100.885,-85.9496994
100.89,-85.86425018
100.895,-85.93138885
100.9,-86.00463104
100.905,-85.90087128
100.91,-85.93749237
100.915,-86.01683807
100.92,-85.99852753
100.925,-85.93138885
100.93,-86.0656662
100.935,-86.03514862
100.94,-85.91918182
100.945,-86.10228729
100.95,-86.12670135
100.955,-86.02294159
100.96,-86.01073456
100.965,-86.12670135
100.97,-86.04125214
100.975,-86.02294159
100.98,-86.09618378
100.985,-86.12670135
100.99,-86.00463104
100.995,-86.12670135
101,-86.09618378
101.005,-86.12670135
101.01,-86.07787323
101.015,-86.17552948
101.02,-86.09618378
101.025,-86.09008026
101.03,-86.09618378
101.035,-86.1450119
101.04,-86.07787323
101.045,-86.13890839
101.05,-86.15111542
101.055,-86.08397675
101.06,-86.07787323
101.065,-86.19994354
101.07,-86.10839081
101.075,-86.04735565
101.08,-86.181633
101.085,-86.13890839
101.09,-86.05956268
101.095,-86.10839081
101.1,-86.12059784
101.105,-86.04125214
101.11,-86.01683807
101.115,-86.12059784
101.12,-85.99852753
101.125,-85.90087128
101.13,-85.98021698
101.135,-85.96190643
101.14,-85.8337326
101.145,-85.85204315
101.15,-85.82762909
101.155,-85.71166229
101.16,-85.66893768
101.165,-85.68114471
101.17,-85.57738495
101.175,-85.48583221
101.18,-85.51024628
101.185,-85.43700409
101.19,-85.22948456
101.195,-85.21117401
101.2,-85.22948456
101.205,-85.09520721
101.21,-85.02196503
101.215,-85.04027557
101.22,-84.93041229
101.225,-84.70458221
101.23,-84.75951385
101.235,-84.71678925
101.24,-84.59471893
101.245,-84.56420135
101.25,-84.5031662
101.255,-84.28343964
101.26,-84.1918869
101.265,-84.17967987
101.27,-84.06981659
101.275,-83.8806076
101.28,-83.9172287
101.285,-83.87450409
101.29,-83.69750214
101.295,-83.71581268
101.3,-83.77684784
101.305,-83.69750214
101.31,-83.65477753
101.315,-83.74022675
101.32,-83.64867401
101.325,-83.67308807
101.33,-83.69750214
101.335,-83.80736542
101.34,-83.69139862
101.345,-83.79515839
101.35,-83.83177948
101.355,-83.85619354
101.36,-83.95995331
101.365,-84.1125412
101.37,-84.15526581
101.375,-84.24681854
101.38,30.5847168
101.385,10.67504787
101.39,7.189941406
101.395,6.329345226
101.4,7.171630859
101.405,8.874510765
101.41,10.60180569
101.415,12.20092678
101.42,14.03808594
101.425,15.81420898
101.43,17.31567192
101.435,18.73779106
101.44,20.12939262
101.445,21.18530083
101.45,22.05810356
101.455,22.77831841
101.46,23.43749809
101.465,23.99291801
101.47,24.52392387
101.475,24.91454887
101.48,25.09155083
101.485,25.29296684
101.49,25.5493145
101.495,25.47607231
101.5,25.38451958
101.505,25.34789848
101.51,25.26855278
101.515,24.91454887
101.52,24.74365044
101.525,24.53002739
101.53,24.24316216
101.535,23.88305473
101.54,23.55956841
101.545,23.0895977
101.55,22.49145317
101.555,22.01537895
101.56,21.57592583
101.565,20.81908989
101.57,20.33691216
101.575,19.83032036
101.58,19.14062309
101.585,18.54247856
101.59,18.0480938
101.595,17.28515434
101.6,16.54662895
101.605,15.97290039
101.61,15.24658203
101.615,14.47753906
101.62,13.84887695
101.625,13.2019043
101.63,12.26196194
101.635,11.40746975
101.64,10.68115139
101.645,9.70458889
101.65,8.642577171
101.655,7.702636719
101.66,6.585693359
101.665,5.426024914
101.67,4.400634289
101.675,3.198241949
101.68,1.922607422
101.685,0.604247987
101.69,-0.646972597
101.695,-2.221679449
101.7,-4.00390625
101.705,-5.68237257
101.71,-7.32421875
101.715,-9.307860374
101.72,-11.28539944
101.725,-13.3972168
101.73,-15.79589844
101.735,-18.26782036
101.74,-20.73364067
101.745,-23.69384575
101.75,-26.76391602
101.755,-29.66308594
101.76,-32.67211533
101.765,-36.05346298
101.77,-39.36156845
101.775,-42.91381454
101.78,-46.96654892
101.785,-51.61132813
101.79,-57.21435547
101.795,-64.20898438
101.8,-72.29003143
101.805,-79.05883026
101.81,-82.91014862
101.815,-84.55199432
101.82,-85.0524826
101.825,-85.19896698
101.83,-85.46141815
101.835,-85.50414276
101.84,-85.51024628
101.845,-85.6384201
101.85,-85.791008
101.855,-85.65062714
101.86,-85.68114471
101.865,-85.85204315
101.87,-85.7543869
101.875,-85.74217987
101.88,-85.80931854
101.885,-85.85204315
101.89,-85.791008
101.895,-85.84593964
101.9,-85.93138885
101.905,-85.81542206
101.91,-85.80931854
101.915,-85.92528534
101.92,-85.90087128
101.925,-85.88256073
101.93,-86.00463104
101.935,-86.07787323
101.94,-85.95580292
101.945,-86.05345917
101.95,-86.10839081
101.955,-86.04125214
101.96,-86.00463104
101.965,-86.16332245
101.97,-86.07176971
101.975,-86.02294159
101.98,-86.07176971
101.985,-86.09008026
101.99,-86.0290451
101.995,-86.12059784
102,-86.1450119
102.005,-86.10839081
102.01,-86.10839081
102.015,-86.19384003
102.02,-86.10839081
102.025,-86.04735565
102.03,-86.16942596
102.035,-86.17552948
102.04,-86.11449432
102.045,-86.1450119
102.05,-86.24266815
102.055,-86.10839081
102.06,-86.10228729
102.065,-86.15111542
102.07,-86.13280487
102.075,-86.0656662
102.08,-86.19994354
102.085,-86.19384003
102.09,-86.09008026
102.095,-86.17552948
102.1,-86.21825409
102.105,-86.13890839
102.11,-86.13890839
102.115,-86.181633
102.12,-86.19994354
102.125,-86.12670135
102.13,-86.23656464
102.135,-86.21215057
102.14,-86.08397675
102.145,-86.1450119
